Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,7,9,6,5,6,5,8,7,4,5,5,2,2,2,2,2,3,4,1,0,0,0,0,1,5,6,5,7,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,2,3,5,4,3,5,3,5,0,0,0,0,2,7,12,5,6,6,10,12,8,9,10,10,9
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,15,38,52,77,39,136,122,104,110,133,109,129,128,120,118,171,159,171,150,134,181,..
Cameroon,..,..,..,..,..,..,..,11,20,37,102,101,98,118,106,139,135,137,160,115,111,95,135,107,62,22,37,40,34,28,30,42,56,57,42,56,92,90,56,130,54,81,73,65,..
Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,318","3,353","4,644","4,944","4,657","5,290","5,556","5,630","5,612","5,393"
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,11,15,11,20,16,18,17,15,15,24,29,33,31,36,35,35,36,27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,..,..,..,..,..,..,..,12,8,9,4,1,1,3,..,11,18,25,35,31,39,39,47,41,15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,70,93,81,14,14,13,12,14,14,18,7,..,..,..,..,..,14,21,16,14,16,16,16,15,15,16,6,6,6,6,2,0,225,308,280
China,..,..,..,..,..,..,..,..,..,..,..,..,3,2,2,3,3,3,4,3,5,18,15,15,19,..,..,219,319,619,789,990,"1,223","1,597","1,996","3,123","3,025","4,372","6,349","4,444","1,754","3,566","4,274","4,443",..
Colombia,13,13,15,14,14,17,20,21,16,20,39,53,35,48,72,98,31,32,14,17,44,105,79,85,146,150,140,112,151,247,219,204,158,65,51,56,66,95,88,92,112,117,128,147,204
Comoros,..,..,..,..,..,..,..,..,..,..,2,1,5,4,5,5,7,6,4,5,4,6,11,5,6,4,..,..,..,..,..,..,..,..,..,0,0,0,1,1,1,1,1,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,6,7,5,28,32,32,26,37,31,57,40,55,136,16
"Congo, Rep.",..,..,..,..,..,..,..,..,9,18,39,22,24,30,34,34,39,53,55,40,55,52,53,45,23,27,38,35,35,46,37,32,35,39,49,66,81,102,..,..,..,..,..,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,1,1,..,..,..,..,..,..,7,36,46,67,93,122,142,141,147,192,192,209,246,271,269,239,259,291,346,403,419
Cote d'Ivoire,..,..,..,..,..,192,295,352,464,637,787,504,400,329,299,287,432,514,528,413,471,446,457,430,355,457,524,496,517,499,390,380,574,628,591,597,660,698,756,743,726,..,..,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,40,41,47,44,46,67,98,100,96,118,154,177,167,145,159,144,159,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,54,55,..
Cyprus,..,..,..,..,..,..,4,3,5,7,9,7,8,7,6,6,7,7,11,10,12,18,24,25,34,48,54,51,52,52,63,101,117,202,255,241,240,305,501,345,363,460,468,720,743
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,55,100,302,341,745,642,605,718,898,"1,103","1,435","1,163","1,460","2,075","2,586","2,045","1,497","1,522","1,335","1,079",822
Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,161,160,200,209,..,370,346,694,662,745,860,"1,030","1,230","1,488","1,766","3,020","3,977","3,425","2,826","3,134","2,949","3,060","3,149"
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,1,1,2,2,2,5,5,5,5,5,5,6,12,13,12,13,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,7,7,9,8,19,18,19,22,23,23,24,25,27,28,35,27,519,566,565,552,..
Ecuador,..,..,..,..,..,..,24,25,12,43,67,66,125,86,122,114,167,147,188,175,2,3,3,3,5,4,9,4,5,5,6,7,7,7,7,54,62,83,66,95,136,148,154,167,..
"Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33,27,33,233,140,255,223,142,344,108,39,32,35,14,79,13,57,135,180,241,255,305,293,293,355,351
El Salvador,..,..,..,..,..,..,6,15,21,24,9,2,7,7,7,3,1,1,4,4,3,2,0,0,0,..,1,..,0,7,20,26,22,25,33,24,28,28,19,20,22,27,27,28,51
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,1,3,2,5,3,3,3,2,5,19,26,50,75,93,98,78,94,86,87,100,114
Ethiopia,..,..,..,..,..,..,..,2,1,1,1,1,0,0,0,1,1,1,0,1,..,0,1,0,0,0,1,5,4,3,13,14,17,17,9,16,14,15,21,27,66,21,22,..,..
Faeroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,6,13,10,5,5,18,23,33,41,31,31,34,..,..,..
Fiji,..,..,..,..,..,..,..,..,..,10,10,12,8,9,8,11,14,14,12,21,22,25,22,23,28,30,40,36,38,40,26,24,20,26,42,8,10,9,13,7,10,11,8,8,..
Finland,..,..,..,..,..,7,8,12,13,13,15,12,12,12,11,12,6,7,10,6,16,59,34,35,42,54,55,89,104,111,100,97,113,149,225,266,331,391,457,454,517,467,821,948,..
