CHN,China,East Asia & Pacific,Upper middle income,Citibank,Bank,Account to account (other bank),6 days or more,200,20,500,8,,24/Jan/2011,USACHN
CHN,China,East Asia & Pacific,Upper middle income,HSBC,Bank,N/A,3-5 days,200,25.64,500,17.85,,24/Jan/2011,USACHN
CHN,China,East Asia & Pacific,Upper middle income,Bank of America,Bank,N/A,2 days,200,32.07,500,18.57,,24/Jan/2011,USACHN
COL,Colombia,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Cash to cash,Same day,200,2.08,500,2.08,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Casa de cambio Delgado,Money Transfer Operator,Cash to cash,Same day,200,2.43,500,2.43,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Citibank,Bank,Account to account (other bank),2 days,200,2.5,500,1,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Citibank,Bank,Account to account (same bank),Less than one hour,200,2.5,500,1,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to cash,Same day,200,2.93,500,2.43,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Uniteller,Money Transfer Operator,Cash to cash,Less than one hour,200,3.43,500,3.43,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Cash to cash,Less than one hour,200,3.6,500,0.9,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Viamericas,Money Transfer Operator,Cash to cash,Less than one hour,200,3.7,500,3.7,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,"Remesas Quisqueyana, Inc.",Money Transfer Operator,Cash to cash,Same day,200,3.93,500,3.93,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Uniteller,Money Transfer Operator,Cash to cash,Less than one hour,200,4.73,500,4.73,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Citibank,Bank,Online service,Less than one hour,200,5,500,2,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Western Union,Money Transfer Operator,Cash to cash,Next day,200,5.09,500,5.09,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Orlandi Valuta,Money Transfer Operator,Cash to cash,Less than one hour,200,5.22,500,5.22,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,3-5 days,200,5.99,500,4.39,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,Western Union,Money Transfer Operator,Online service,Next day,200,6.09,500,6.09,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,200,6.99,500,3.99,,25/Jan/2011,USACOL
COL,Colombia,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,Less than one hour,200,6.99,500,4.99,,25/Jan/2011,USACOL
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Quisqueyana,Money Transfer Operator,Cash to account,Next day,200,1.44,500,1.44,,26/Jan/2011,USADOM
